@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,98,96,0,50.515464,49.484536,0,0.489039,0.009928,0.099509,50.93825,100.859095,1141.721524,81166.340425,-80024.618901,5.885162,418.383198,-412.498036,536.01286,2.762953,8961.14702,0,0,0,0,1,190,1,4,0,0,0,0,0.992105,0.622024,0.505155,0.015752,0.984248,0.494845,0.493139,0.505155,0.482215,0.478507,0.82043,0.455779,0.380161,0.505155,0.156,3.666,0.16,3.63,5048000,10986719,1281947,50.515464,1.010309,?
data/beck-s,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,103,91,0,53.092784,46.907216,0,0.516461,0.009377,0.096814,48.096148,98.093984,1148.301956,80102.787147,-78954.485191,5.919082,412.900965,-406.981882,572.543727,2.951256,9577.614589,0.25,1,0,0,1,190,0.75,3,1,0.25,0.4,0.496099,0.851974,0.475393,0.530928,0.014011,0.985989,0.469072,0.530199,0.530928,0.504805,0.506462,0.815232,0.458838,0.398084,0.530928,0.168,3.675,0.16,3.64,5048000,10986719,1281947,53.092784,1,?
data/beck-s,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1749,195,101,94,0,51.794872,48.205128,0,0.502497,0.00964,0.098175,49.439045,99.46446,1159.821733,79500.614599,-78340.792866,5.947804,407.695459,-401.747656,552.378301,2.832709,9244.954961,0.5,2,0.010471,2,0.989529,189,0.5,2,0.5,0.5,0.5,0.489529,0.985602,0.468254,0.517949,0.015154,0.984846,0.482051,0.532757,0.517949,0.495852,0.49902,0.822621,0.46581,0.372241,0.517949,0.161,3.685,0.16,3.65,5048000,10980482,1288184,51.794872,1,?
data/beck-s,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1749,195,105,90,0,53.846154,46.153846,0,0.525483,0.00924,0.095977,47.384196,97.230751,1161.047953,75730.615493,-74569.56754,5.954092,388.362131,-382.408039,596.413775,3.058532,9982.968625,0.25,1,0,0,1,191,0.75,3,1,0.25,0.4,0.496119,0.985602,0.62381,0.538462,0.011753,0.988247,0.461538,0.560998,0.538462,0.525445,0.526734,0.83256,0.483201,0.419052,0.538462,0.158,3.693,0.16,3.66,5048000,10980482,1288184,53.846154,1.010256,?
data/beck-s,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1749,195,106,89,0,54.358974,45.641026,0,0.528819,0.009172,0.095391,47.042347,96.648291,1151.567805,77083.466384,-75931.898579,5.905476,395.299828,-389.394352,591.023242,3.030888,9884.143865,0.5,2,0.005236,1,0.994764,190,0.5,2,0.666667,0.5,0.571429,0.569815,0.861257,0.445604,0.54359,0.015849,0.984151,0.45641,0.529491,0.54359,0.511553,0.511679,0.819708,0.474219,0.392253,0.54359,0.157,3.658,0.15,3.63,5048000,10980482,1288184,54.358974,1.015385,?
data/beck-s,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1749,195,95,100,0,48.717949,51.282051,0,0.471616,0.010252,0.101066,52.586269,102.409104,1151.766146,82923.388764,-81771.622618,5.906493,425.248148,-419.341654,528.340563,2.709439,8836.027926,0.5,2,0.005236,1,0.994764,190,0.5,2,0.666667,0.5,0.571429,0.569815,0.86322,0.432212,0.487179,0.015383,0.984617,0.512821,0.4755,0.487179,0.459555,0.45741,0.807839,0.441513,0.350438,0.487179,0.156,3.683,0.15,3.65,5048000,10980482,1288184,48.717949,1.010256,?
data/beck-s,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,104,90,0,53.608247,46.391753,0,0.520224,0.009278,0.096316,47.57566,97.568299,1151.045697,76967.697088,-75816.651391,5.933225,396.740707,-390.807481,575.542086,2.966712,9630.360485,0,0,0.010526,2,0.989474,188,1,4,0,0,0,-0.014809,0.859211,0.295631,0.536082,0.016833,0.983167,0.463918,0.54713,0.536082,0.513056,0.516692,0.826021,0.511111,0.42271,0.536082,0.163,3.68,0.16,3.64,5048000,10986719,1281947,53.608247,1,?
data/beck-s,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,103,91,0,53.092784,46.907216,0,0.515586,0.009394,0.096754,48.179165,98.02638,1146.852505,78853.530921,-77706.678416,5.911611,406.4615,-400.549889,580.525301,2.992398,9709.668991,1,4,0.005263,1,0.994737,189,0,0,0.8,1,0.888889,0.89207,0.997368,0.8,0.530928,0.017272,0.982728,0.469072,0.566333,0.530928,0.523875,0.523105,0.816667,0.492039,0.450343,0.530928,0.157,3.69,0.15,3.65,5048000,10986719,1281947,53.092784,1.010309,?
data/beck-s,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,102,92,0,52.57732,47.42268,0,0.510249,0.009485,0.097306,48.657375,98.610348,1145.781356,81551.565344,-80405.783988,5.906089,420.368894,-414.462804,566.348642,2.919323,9471.883973,0.25,1,0,0,1,190,0.75,3,1,0.25,0.4,0.496099,0.615132,0.265464,0.525773,0.016604,0.983396,0.474227,0.514298,0.525773,0.494131,0.493944,0.807695,0.444468,0.386474,0.525773,0.158,3.654,0.16,3.62,5048000,10986719,1281947,52.57732,1.005155,?
data/beck-s,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0715,1750,194,98,96,0,50.515464,49.484536,0,0.48925,0.009897,0.099397,50.769133,100.728618,1145.64176,82532.846498,-81387.204738,5.90537,425.427044,-419.521674,543.381977,2.800938,9087.742233,0.25,1,0.021053,4,0.978947,186,0.75,3,0.2,0.25,0.222222,0.205318,0.849342,0.220333,0.505155,0.01531,0.98469,0.494845,0.495974,0.505155,0.472759,0.474494,0.810255,0.430009,0.387152,0.505155,0.157,3.665,0.15,3.63,5048000,10986719,1281947,50.515464,1.005155,?
